title,doi,journal
"Contribution of 3D genome topological domains to genetic risk of cancers: a genome-wide computational study",https://doi.org/10.1186/s40246-022-00375-2,"Human Genomics"
"Metabolically healthy versus unhealthy obese phenotypes in relation to hypertension incidence; a prospective cohort study",https://doi.org/10.1186/s12872-022-02553-5,"BMC Cardiovascular Disorders"
"Prevalence of constipation and use of laxatives, and association with risk factors among older patients during hospitalization: a cross sectional study",https://doi.org/10.1186/s12876-022-02195-z,"BMC Gastroenterology"
"Risk factors of the post-reperfusion syndrome during orthotopic liver transplantation: a clinical observational study",https://doi.org/10.1186/s12871-022-01635-3,"BMC Anesthesiology"
"Accumulation in nutrient acquisition strategies of arbuscular mycorrhizal fungi and plant roots in poor and heterogeneous soils of karst shrub ecosystems",https://doi.org/10.1186/s12870-022-03514-y,"BMC Plant Biology"
"LMOD1, an oncogene associated with Lauren classification, regulates the metastasis of gastric cancer cells through the FAK-AKT/mTOR pathway",https://doi.org/10.1186/s12885-022-09541-0,"BMC Cancer"
"Association of gut microbiota with idiopathic membranous nephropathy",https://doi.org/10.1186/s12882-022-02797-5,"BMC Nephrology"
"Emotion dysregulation and heart rate variability improve in US veterans undergoing treatment for posttraumatic stress disorder: Secondary exploratory analyses from a randomised controlled trial",https://doi.org/10.1186/s12888-022-03886-3,"BMC Psychiatry"
"Contributing to collaborative health governance in Africa: a realist evaluation of the Universal Health Coverage Partnership",https://doi.org/10.1186/s12913-022-08120-0,"BMC Health Services Research"
"Exploring the relationship between co-worker and supervisor support, self- confidence, coping skills and burnout in residential aged care staff",https://doi.org/10.1186/s12912-022-00901-6,"BMC Nursing"
"Systematic analysis and expression profiles of TCP gene family in Tartary buckwheat (Fagopyrum tataricum (L.) Gaertn.) revealed the potential function of FtTCP15 and FtTCP18 in response to abiotic stress",https://doi.org/10.1186/s12864-022-08618-1,"BMC Genomics"
"“Not shifting, but sharing”: stakeholders' perspectives on mental health task-shifting in Indonesia",https://doi.org/10.1186/s12912-022-00945-8,"BMC Nursing"
"Comorbidities of nontuberculous mycobacteria infection in Korean adults: results from the National Health Insurance Service–National Sample Cohort (NHIS–NSC) database",https://doi.org/10.1186/s12890-022-02075-y,"BMC Pulmonary Medicine"
"Arcuate AgRP, but not POMC neurons, modulate paraventricular CRF synthesis and release in response to fasting",https://doi.org/10.1186/s13578-022-00853-z,"Cell & Bioscience"
"Prognostic value of systemic inflammation response index in nasopharyngeal carcinoma with negative Epstein-Barr virus DNA",https://doi.org/10.1186/s12885-022-09942-1,"BMC Cancer"
"Osteoclast-derived extracellular vesicles are implicated in sensory neurons sprouting through the activation of epidermal growth factor signaling",https://doi.org/10.1186/s13578-022-00864-w,"Cell & Bioscience"
"Workforce situation of the Chinese mental health care system: results from a cross-sectional study",https://doi.org/10.1186/s12888-022-04204-7,"BMC Psychiatry"
"Combined nanometric and phylogenetic analysis of unique endocytic compartments in Giardia lamblia sheds light on the evolution of endocytosis in Metamonada",https://doi.org/10.1186/s12915-022-01402-3,"BMC Biology"
"On the role of financial support programs in mitigating the SARS-CoV-2 spread in Brazil",https://doi.org/10.1186/s12889-022-14155-z,"BMC Public Health"
"Simulated redistricting plans for the analysis and evaluation of redistricting in the United States",https://doi.org/10.1038/s41597-022-01808-2,"Scientific Data"
"The antibiofilm activity of selected substances used in oral health prophylaxis",https://doi.org/10.1186/s12903-022-02532-4,"BMC Oral Health"
"Hydrogen peroxide pretreatment assisted phytoremediation of sodium dodecyl sulfate by Juncus acutus L",https://doi.org/10.1186/s12870-022-03984-0,"BMC Plant Biology"
"The prevalance of binge eating disorder and associated psychiatric and substance use disorders in a student population in Kenya – towards a public health approach",https://doi.org/10.1186/s12888-022-03761-1,"BMC Psychiatry"
"Combining faecal immunochemical testing with blood test results for colorectal cancer risk stratification: a consecutive cohort of 16,604 patients presenting to primary care",https://doi.org/10.1186/s12916-022-02272-w,"BMC Medicine"
"Body size in early life and the risk of postmenopausal breast cancer",https://doi.org/10.1186/s12885-022-09233-9,"BMC Cancer"
"Rice (Oryza sativa L.) cytochrome P450 protein 716A subfamily CYP716A16 regulates disease resistance",https://doi.org/10.1186/s12864-022-08568-8,"BMC Genomics"
"Abundant small RNAs in the reproductive tissues and eggs of the honey bee, Apis mellifera",https://doi.org/10.1186/s12864-022-08478-9,"BMC Genomics"
"Regulatory emotional self-efficacy and psychological distress among medical students: multiple mediating roles of interpersonal adaptation and self-acceptance",https://doi.org/10.1186/s12909-022-03338-2,"BMC Medical Education"
"MSAL-Net: improve accurate segmentation of nuclei in histopathology images by multiscale attention learning network",https://doi.org/10.1186/s12911-022-01826-5,"BMC Medical Informatics and Decision Making"
"Effects of different water conditions on the biomass, root morphology and aerenchyma formation in bermudagrass (Cynodon dactylon (L.) Pers)",https://doi.org/10.1186/s12870-022-03653-2,"BMC Plant Biology"
"Reactogenicity after heterologous and homologous COVID-19 prime-boost vaccination regimens: descriptive interim results of a comparative observational cohort study",https://doi.org/10.1186/s12879-022-07443-x,"BMC Infectious Diseases"
"DNL-Net: deformed non-local neural network for blood vessel segmentation",https://doi.org/10.1186/s12880-022-00836-z,"BMC Medical Imaging"
"The NEON Daily Isotopic Composition of Environmental Exchanges Dataset",https://doi.org/10.1038/s41597-022-01412-4,"Scientific Data"
"Trends in avoidable hospitalizations in a developed City in eastern China: 2015 to 2018",https://doi.org/10.1186/s12913-022-08275-w,"BMC Health Services Research"
"LiSA: an assisted literature search pipeline for detecting serious adverse drug events with deep learning",https://doi.org/10.1186/s12911-022-02085-0,"BMC Medical Informatics and Decision Making"
"M6A-related lncRNAs predict clinical outcome and regulate the tumor immune microenvironment in hepatocellular carcinoma",https://doi.org/10.1186/s12885-022-09925-2,"BMC Cancer"
"PLAS-5k: Dataset of Protein-Ligand Affinities from Molecular Dynamics for Machine Learning Applications",https://doi.org/10.1038/s41597-022-01631-9,"Scientific Data"
"Exploring patient experiences with a telehealth approach for the PRO-ACTIVE trial intervention in head and neck cancer patients",https://doi.org/10.1186/s12913-022-08554-6,"BMC Health Services Research"
"Physiological and protein profiling analysis provides insight into the underlying molecular mechanism of potato tuber development regulated by jasmonic acid in vitro",https://doi.org/10.1186/s12870-022-03852-x,"BMC Plant Biology"
"Determining the influence of different linking patterns on the stability of students’ score adjustments produced using Video-based Examiner Score Comparison and Adjustment (VESCA)",https://doi.org/10.1186/s12909-022-03115-1,"BMC Medical Education"
"Epigenetic landscape of drug responses revealed through large-scale ChIP-seq data analyses",https://doi.org/10.1186/s12859-022-04571-8,"BMC Bioinformatics"
"Environmental and individual factors associated with gestational weight gain",https://doi.org/10.1186/s12889-022-12948-w,"BMC Public Health"
"Peri-tumoural spatial distribution of lipid composition and tubule formation in breast cancer",https://doi.org/10.1186/s12885-022-09362-1,"BMC Cancer"
"Laboratory modelling of urban flooding",https://doi.org/10.1038/s41597-022-01282-w,"Scientific Data"
"Long noncoding RNA MALAT1 polymorphism predicts MACCEs in patients with myocardial infarction",https://doi.org/10.1186/s12872-022-02590-0,"BMC Cardiovascular Disorders"
"Anaplasma phagocytophilum in Marmota himalayana",https://doi.org/10.1186/s12864-022-08557-x,"BMC Genomics"
"Clonal spread of carbapenemase-producing Enterobacteriaceae in a region, China",https://doi.org/10.1186/s12866-022-02497-y,"BMC Microbiology"
"Serum total bilirubin and long-term prognosis of patients with new-onset non-ST elevation myocardial infarction: a cohort study",https://doi.org/10.1186/s12872-022-02607-8,"BMC Cardiovascular Disorders"
"Degradome sequencing reveals an integrative miRNA-mediated gene interaction network regulating rice seed vigor",https://doi.org/10.1186/s12870-022-03645-2,"BMC Plant Biology"
"Streptomyces coeruleorubidus as a potential biocontrol agent for Newcastle disease virus",https://doi.org/10.1186/s12917-022-03349-7,"BMC Veterinary Research"
"Microbiome function underpins the efficacy of a fiber-supplemented dietary intervention in dogs with chronic large bowel diarrhea",https://doi.org/10.1186/s12917-022-03315-3,"BMC Veterinary Research"
"TG/HDL-C ratio predicts in-hospital mortality in patients with acute type A aortic dissection",https://doi.org/10.1186/s12872-022-02793-5,"BMC Cardiovascular Disorders"
"Photoselective sharp enucleation of the prostate with a front-firing 532-nm laser versus photoselective vaporization of the prostate in the treatment of benign prostatic hyperplasia: a randomised controlled trial with 1-year followup results",https://doi.org/10.1186/s12894-022-01129-x,"BMC Urology"
"Evaluation of the quality of multiple-choice questions according to the students’ academic level",https://doi.org/10.1186/s12909-022-03844-3,"BMC Medical Education"
"Evolution and functional analysis of the GRAS family genes in six Rosaceae species",https://doi.org/10.1186/s12870-022-03925-x,"BMC Plant Biology"
"Copper selects for siderophore-mediated virulence in Pseudomonas aeruginosa",https://doi.org/10.1186/s12866-022-02720-w,"BMC Microbiology"
"Exploring the lived experience of mental health and coping during unemployment",https://doi.org/10.1186/s12889-022-14858-3,"BMC Public Health"
"Prevalence and the associated factors of hepatitis B and hepatitis C viral infections among HIV-positive individuals in same-day antiretroviral therapy initiation program in Bangkok, Thailand",https://doi.org/10.1186/s12889-021-12429-6,"BMC Public Health"
"Distribution of risk factors of ischemic stroke in Chinese young adults and its correlation with prognosis",https://doi.org/10.1186/s12883-022-02552-1,"BMC Neurology"
"Intestinal microsporidiosis among HIV/AIDS patients receiving antiretroviral therapy in Sana’a city, Yemen: first report on prevalence and predictors",https://doi.org/10.1186/s12879-021-07009-3,"BMC Infectious Diseases"
"Molecular characterization of Trypanosoma evansi, T. vivax and T. congolense in camels (Camelus dromedarius) of KSA",https://doi.org/10.1186/s12917-022-03148-0,"BMC Veterinary Research"
"Prevalence of risk behaviors and correlates of SARS-CoV-2 positivity among in-school contacts of confirmed cases in a Georgia school district in the pre-vaccine era, December 2020–January 2021",https://doi.org/10.1186/s12889-021-12347-7,"BMC Public Health"
"Measuring personal recovery in a low-intensity community mental healthcare setting: validation of the Dutch version of the individual recovery outcomes counter (I.ROC)",https://doi.org/10.1186/s12888-022-03697-6,"BMC Psychiatry"
"Coding quality of deaths and its impact on elderly unintentional fall mortality data from 1990 to 2019: a retrospective analysis of the WHO Mortality Database",https://doi.org/10.1186/s12877-021-02744-3,"BMC Geriatrics"
"Remote interpreting in primary care settings: a feasibility trial in Germany",https://doi.org/10.1186/s12913-021-07372-6,"BMC Health Services Research"
"Physiological response of Kobresia pygmaea to temperature changes on the Qinghai-Tibet Plateau",https://doi.org/10.1186/s12870-022-03428-9,"BMC Plant Biology"
"Parenting practices and oral health behaviors of children in rural Egypt: gender differences in a household survey",https://doi.org/10.1186/s12903-022-02054-z,"BMC Oral Health"
"Community pharmacist counseling improves adherence and asthma control: a nationwide study",https://doi.org/10.1186/s12913-022-07518-0,"BMC Health Services Research"
"Metabolic differences of two constructive species in saline-alkali grassland in China",https://doi.org/10.1186/s12870-021-03401-y,"BMC Plant Biology"
"Sequential endoscopic and robot-assisted surgical solutions for a rare fungal spondylodiscitis, secondary lumbar spinal stenosis, and subsequent discal pseudocyst causing acute cauda equina syndrome: a case report",https://doi.org/10.1186/s12893-022-01493-3,"BMC Surgery"
"Bilateral blindness after uneventful brolucizumab injection for macular degeneration",https://doi.org/10.1186/s12886-022-02305-1,"BMC Ophthalmology"
"A prospective cohort study examining exposure to incarceration and cardiovascular disease (Justice-Involved Individuals Cardiovascular Disease Epidemiology – JUSTICE study): a protocol paper",https://doi.org/10.1186/s12889-022-12688-x,"BMC Public Health"
"Implementation of a campus-based and peer-delivered HIV self-testing intervention to improve the uptake of HIV testing services among university students in Zimbabwe: the SAYS initiative",https://doi.org/10.1186/s12913-022-07622-1,"BMC Health Services Research"
"Integrated analysis of the prognostic and oncogenic roles of OPN3 in human cancers",https://doi.org/10.1186/s12885-022-09219-7,"BMC Cancer"
"Understanding how context and culture in six communities can shape implementation of a complex intervention: a comparative case study",https://doi.org/10.1186/s12913-022-07615-0,"BMC Health Services Research"
"Assessing the impact of public transfer payments on the vulnerability of rural households to healthcare poverty in China",https://doi.org/10.1186/s12913-022-07604-3,"BMC Health Services Research"
"Super-resolution imaging of Douglas fir xylem cell wall nanostructure using SRRF microscopy",https://doi.org/10.1186/s13007-022-00865-3,"Plant Methods"
"Are pro-inflammatory markers associated with psychological distress in a cross-sectional study of healthy adolescents 15–17 years of age? The Fit Futures study",https://doi.org/10.1186/s40359-022-00779-8,"BMC Psychology"
"An evaluation of the quality of online perinatal depression information",https://doi.org/10.1186/s12884-021-04320-4,"BMC Pregnancy and Childbirth"
"Morphological and phonological processing in English monolingual, Chinese-English bilingual, and Spanish-English bilingual children: An fNIRS neuroimaging dataset",https://doi.org/10.1016/j.dib.2022.108048,"Data in Brief"
"Association of CATSPER1, SPATA16 and TEX11 genes polymorphism with idiopathic azoospermia and oligospermia risk in Iranian population",https://doi.org/10.1186/s12920-022-01197-w,"BMC Medical Genomics"
"Exploring experiences and needs of spousal carers of people with behavioural variant frontotemporal dementia (bvFTD) including those with familial FTD (fFTD): a qualitative study",https://doi.org/10.1186/s12877-022-02867-1,"BMC Geriatrics"
"Formulation of teaching strategies for graduation internship based on the experiential learning styles of nursing undergraduates: a non-randomized controlled trial",https://doi.org/10.1186/s12909-022-03221-0,"BMC Medical Education"
"Development and validation of the geriatrics health behavior questionnaire (GHBQ)",https://doi.org/10.1186/s12889-022-12927-1,"BMC Public Health"
"Nurses’ experiences of blood sample collection from children: a qualitative study from Swedish paediatric hospital care",https://doi.org/10.1186/s12912-022-00840-2,"BMC Nursing"
"Subjective perception of life stress events affects long-term pain: the role of resilience",https://doi.org/10.1186/s40359-022-00765-0,"BMC Psychology"
"Impact of interval between induction of spinal anesthesia to delivery on umbilical arterial cord ph of neonates delivered by elective cesarean section",https://doi.org/10.1186/s12884-022-04536-y,"BMC Pregnancy and Childbirth"
"Cost-utility analysis of four WHO-recommended sofosbuvir-based regimens for the treatment of chronic hepatitis C in sub-Saharan Africa",https://doi.org/10.1186/s12913-021-07289-0,"BMC Health Services Research"
"Use of levosimendan combined with Shenfu injection to treat acute heart failure patients with hypotension: a prospective randomized controlled single-blind study",https://doi.org/10.1186/s12872-022-02572-2,"BMC Cardiovascular Disorders"
"Acute kidney injury following major emergency abdominal surgery – a retrospective cohort study based on medical records data",https://doi.org/10.1186/s12882-022-02708-8,"BMC Nephrology"
"Association between total protein intake and low muscle mass in Korean adults",https://doi.org/10.1186/s12877-022-03019-1,"BMC Geriatrics"
"Physiological attributes and transcriptomics analyses reveal the mechanism response of Helictotrichon virescens to low temperature stress",https://doi.org/10.1186/s12864-022-08526-4,"BMC Genomics"
"Association mapping reveals a reciprocal virulence/avirulence locus within diverse US Pyrenophora teres f. maculata isolates",https://doi.org/10.1186/s12864-022-08529-1,"BMC Genomics"
"Gender differences in measles incidence rates in a multi-year, pooled analysis, based on national data from seven high income countries",https://doi.org/10.1186/s12879-022-07340-3,"BMC Infectious Diseases"
"New diagnosis of mother-to-child transmission of HIV in 8 Latin-American countries during 2018",https://doi.org/10.1186/s12879-022-07311-8,"BMC Infectious Diseases"
"Workplace violence toward emergency medicine physicians in the hospitals of Taif city, Saudi Arabia: a cross-sectional survey",https://doi.org/10.1186/s12873-022-00620-w,"BMC Emergency Medicine"
"Patient and family involvement in Choosing Wisely initiatives: a mixed methods study",https://doi.org/10.1186/s12913-022-07861-2,"BMC Health Services Research"
"Recommendations made by patients, caregivers, providers, and decision-makers to improve transitions in care for older adults with hip fracture: a qualitative study in Ontario, Canada",https://doi.org/10.1186/s12877-022-02943-6,"BMC Geriatrics"
"Unraveling the expression of differentially expressed proteins and enzymatic activity in response to Phytophthora nicotianae across different flue-cured tobacco cultivars",https://doi.org/10.1186/s12866-022-02531-z,"BMC Microbiology"
"Surgical wait times and socioeconomic status in a public healthcare system: a retrospective analysis",https://doi.org/10.1186/s12913-022-07976-6,"BMC Health Services Research"
"(GTG)5-PCR fingerprinting of multi-drug resistant Escherichia coli bacteria isolates from hospital in Ouagadougou, Burkina Faso",https://doi.org/10.1186/s12866-022-02537-7,"BMC Microbiology"
"Desflurane improves lung collapse more than propofol during one-lung ventilation and reduces operation time in lobectomy by video-assisted thoracic surgery: a randomized controlled trial",https://doi.org/10.1186/s12871-022-01669-7,"BMC Anesthesiology"
"Effects of aerobic exercise on quality of life of people with HIV-associated neurocognitive disorder on antiretroviral therapy: a randomised controlled trial",https://doi.org/10.1186/s12879-022-07389-0,"BMC Infectious Diseases"
"Improving medical term embeddings using UMLS Metathesaurus",https://doi.org/10.1186/s12911-022-01850-5,"BMC Medical Informatics and Decision Making"
"Development and consensus of entrustable professional activities for final-year medical students in anaesthesiology",https://doi.org/10.1186/s12871-022-01668-8,"BMC Anesthesiology"
"Fatty liver index for hyperuricemia diagnosis: a community-based cohort study",https://doi.org/10.1186/s12902-022-01030-6,"BMC Endocrine Disorders"
"Self-reported chronic kidney disease and the risk of all-cause and cause-specific mortality: outcome-wide association study of 54 causes of death in the National Health Interview Survey",https://doi.org/10.1186/s12882-022-02771-1,"BMC Nephrology"
"Transcriptome and metabolome analyses reveal new insights into chlorophyll, photosynthesis, metal ion and phenylpropanoids related pathways during sugarcane ratoon chlorosis",https://doi.org/10.1186/s12870-022-03588-8,"BMC Plant Biology"
"Throat carriage rate, associated factors, and antimicrobial susceptibility pattern of group A Streptococcus among healthy school children in Jigjiga City, Eastern Ethiopia",https://doi.org/10.1186/s12887-022-03294-2,"BMC Pediatrics"
"Bacterial community and chemical profiles of oil-polluted sites in selected cities of Uganda: potential for developing a bacterial-based product for remediation of oil-polluted sites",https://doi.org/10.1186/s12866-022-02541-x,"BMC Microbiology"
"Prevalence and genotypes distribution of group A rotavirus among outpatient children under 5 years with acute diarrhea in Shanghai, China, 2012–2018",https://doi.org/10.1186/s12876-022-02288-9,"BMC Gastroenterology"
"Gaur genome reveals expansion of sperm odorant receptors in domesticated cattle",https://doi.org/10.1186/s12864-022-08561-1,"BMC Genomics"
"FAM201A, a long noncoding RNA potentially associated with atrial fibrillation identified by ceRNA network analyses and WGCNA",https://doi.org/10.1186/s12920-022-01232-w,"BMC Medical Genomics"
"Physiological adjustment of pomegranate pericarp responding to sunburn and its underlying molecular mechanisms",https://doi.org/10.1186/s12870-022-03534-8,"BMC Plant Biology"
"Reliability and validity of the fall risk self-assessment scale for community-dwelling older people in China: a pilot study",https://doi.org/10.1186/s12877-022-02962-3,"BMC Geriatrics"
"Hemostatic efficacy and safety of the hemostatic powder UI-EWD in patients with lower gastrointestinal bleeding",https://doi.org/10.1186/s12876-022-02247-4,"BMC Gastroenterology"
"Genome-wide association studies for immunoglobulin concentrations in colostrum and serum in Chinese Holstein",https://doi.org/10.1186/s12864-021-08250-5,"BMC Genomics"
"Provider perspectives on emergency department initiation of medication assisted treatment for alcohol use disorder",https://doi.org/10.1186/s12913-022-07862-1,"BMC Health Services Research"
"Reactive nitrogen fluxes over peatland and forest ecosystems using micrometeorological measurement techniques",https://doi.org/10.5194/essd-14-743-2022,"Earth system science data"
"Examining the views of operating room nurses and physicians on the relationship between professional values and professional communication",https://doi.org/10.1186/s12912-021-00778-x,"BMC Nursing"
"Diversity and distribution of Oxytropis DC. (Fabaceae) species in Asian Russia",https://doi.org/10.3897/bdj.10.e78666,"Biodiversity Data Journal"
"Association between annual change in FEV1 and comorbidities or impulse oscillometry in chronic obstructive pulmonary disease",https://doi.org/10.1186/s12890-022-01980-6,"BMC Pulmonary Medicine"
"Factors associated with a change in smoking habit during the first COVID-19 lockdown: an Italian cross-sectional study among ever-smokers",https://doi.org/10.1186/s12889-022-13404-5,"BMC Public Health"
"﻿Life cycle and description of the immature stages of a terrestrial firefly endemic to Mexico: Photinus extensus Gorham (Coleoptera, Lampyridae)",https://doi.org/10.3897/zookeys.1104.80624,"ZooKeys"
"Attitudes of home-visiting nurses toward risk management of patient safety incidents in Japan",https://doi.org/10.1186/s12912-022-00905-2,"BMC Nursing"
"Analysis of influence of physical health factors on subjective wellbeing of middle-aged and elderly women in China",https://doi.org/10.1186/s12889-022-12655-6,"BMC Public Health"
"Effect of specific training course for competency in professional oral hygiene care in the intensive care unit: a quasi-experimental study for developing a standardized learning curve",https://doi.org/10.1186/s12871-022-01709-2,"BMC Anesthesiology"
"Comparisons of cell proliferation and cell death from tornaria larva to juvenile worm in the hemichordate Schizocardium californicum",https://doi.org/10.1186/s13227-022-00198-1,"EvoDevo"
"How does re-classification of variants of unknown significance (VUS) impact the management of patients at risk for hereditary breast cancer?",https://doi.org/10.1186/s12920-022-01270-4,"BMC Medical Genomics"
"Adolescents’ lived experience of panic disorder: an interpretative phenomenological analysis",https://doi.org/10.1186/s40359-022-00849-x,"BMC Psychology"
"Fondaparinux sodium and low molecular weight heparin for venous thromboembolism prophylaxis in Chinese patients with major orthopedic surgery or trauma: a real-world study",https://doi.org/10.1186/s12893-022-01652-6,"BMC Surgery"
"Effect of physical therapy on bone remodelling in preterm infants: a multicenter randomized controlled clinical trial",https://doi.org/10.1186/s12887-022-03402-2,"BMC Pediatrics"
"A positive faecal immunochemical test result and its association with the incidence of rheumatoid arthritis, systemic lupus erythematosus, and psoriatic arthritis: an analysis of one-million national colorectal cancer screening programme results",https://doi.org/10.1186/s12916-022-02416-y,"BMC Medicine"
"MdNup62 interactions with MdHSFs involved in flowering and heat-stress tolerance in apple",https://doi.org/10.1186/s12870-022-03698-3,"BMC Plant Biology"
"Ginkgolide B improved postoperative cognitive dysfunction by inhibiting microgliosis-mediated neuroinflammation in the hippocampus of mice",https://doi.org/10.1186/s12871-022-01750-1,"BMC Anesthesiology"
"ccImpute: an accurate and scalable consensus clustering based algorithm to impute dropout events in the single-cell RNA-seq data",https://doi.org/10.1186/s12859-022-04814-8,"BMC Bioinformatics"
"A prospective cohort study on the association between waterpipe tobacco smoking and gastric cancer mortality in Northern Vietnam",https://doi.org/10.1186/s12885-022-09894-6,"BMC Cancer"
"A Critical Literature Review of Historic Scientific Analog Data: Uses, Successes, and Challenges",https://doi.org/10.5334/dsj-2022-014,"Data Science Journal"
"Trend in the incidence of hepatitis A in mainland China from 2004 to 2017: a joinpoint regression analysis",https://doi.org/10.1186/s12879-022-07651-5,"BMC Infectious Diseases"
"Experiences of patients with chronic obstructive pulmonary disease receiving integrated telehealth nursing services during COVID-19 lockdown",https://doi.org/10.1186/s12912-022-00967-2,"BMC Nursing"
"Evolutionary conserved relocation of chromatin remodeling complexes to the mitotic apparatus",https://doi.org/10.1186/s12915-022-01365-5,"BMC Biology"
"Task sharing in an interprofessional medication management program – a survey of general practitioners and community pharmacists",https://doi.org/10.1186/s12913-022-08378-4,"BMC Health Services Research"
"Risk factors of pelvic floor muscle strength in south Chinese women: a retrospective study",https://doi.org/10.1186/s12884-022-04952-0,"BMC Pregnancy and Childbirth"
"Quality of intrapartum care at Public Health Institutions of North Achefer District, North West Ethiopia: a mixed method study",https://doi.org/10.1186/s12884-022-04907-5,"BMC Pregnancy and Childbirth"
"<i>Stardust</i>: improving spatial transcriptomics data analysis through space-aware modularity optimization-based clustering",https://doi.org/10.1093/gigascience/giac075,"GigaScience"
"Explorative study on scale cortisol accumulation in wild caught common dab (Limanda limanda)",https://doi.org/10.1186/s12917-022-03385-3,"BMC Veterinary Research"
"Clinical significance of potential drug–drug interactions in older adults with psychiatric disorders: a retrospective study",https://doi.org/10.1186/s12888-022-04207-4,"BMC Psychiatry"
"Determinants of maternal near miss events among women admitted to tertiary hospitals in Mogadishu, Somalia: a facility-based case–control study",https://doi.org/10.1186/s12884-022-04987-3,"BMC Pregnancy and Childbirth"
"Better governance starts with better words: why responsible human tissue research demands a change of language",https://doi.org/10.1186/s12910-022-00823-7,"BMC Medical Ethics"
"Exploratory application of machine learning methods on patient reported data in the development of supervised models for predicting outcomes",https://doi.org/10.1186/s12911-022-01973-9,"BMC Medical Informatics and Decision Making"
"Developing machine learning-based models to predict intrauterine insemination (IUI) success by address modeling challenges in imbalanced data and providing modification solutions for them",https://doi.org/10.1186/s12911-022-01974-8,"BMC Medical Informatics and Decision Making"
"Risk factors associated with comorbid asthma in patients with chronic rhinosinusitis with nasal polyps: a cross-sectional study",https://doi.org/10.1186/s12890-022-02138-0,"BMC Pulmonary Medicine"
"Incidence and risk factors of intraoperative hyperglycemia in non-diabetic patients: a prospective observational study",https://doi.org/10.1186/s12871-022-01829-9,"BMC Anesthesiology"
"Drug-related problems and its predictors among hospitalized heart failure patients at Jimma Medical Center, South West Ethiopia: prospective interventional study",https://doi.org/10.1186/s12872-022-02859-4,"BMC Cardiovascular Disorders"
"Midwives’ empathy and shared decision making from women’s perspective - sensitivity of an assessment to compare quality of care in prenatal and obstetric care",https://doi.org/10.1186/s12884-022-05041-y,"BMC Pregnancy and Childbirth"
"Experiences and challenges faced by community mental health workers when providing care to people with mental illness: a qualitative study",https://doi.org/10.1186/s12888-022-04252-z,"BMC Psychiatry"
"Evidence-based selection of orthodontic miniscrews, increasing their success rate in the mandibular buccal shelf. A randomized, prospective clinical trial",https://doi.org/10.1186/s12903-022-02460-3,"BMC Oral Health"
"Pregnancy outcomes in patients with polycystic ovary syndrome who conceived after single thawed blastocyst transfer: a propensity score-matched study",https://doi.org/10.1186/s12884-022-05011-4,"BMC Pregnancy and Childbirth"
"Preventing adverse events of chemotherapy for gastrointestinal cancer by educating patients about the nocebo effect: a randomized-controlled trial",https://doi.org/10.1186/s12885-022-10089-2,"BMC Cancer"
"Increased risk of preterm delivery with high cortisol during pregnancy is modified by fetal sex: a cohort study",https://doi.org/10.1186/s12884-022-05061-8,"BMC Pregnancy and Childbirth"
"Identification of reindeer fine-scale foraging behaviour using tri-axial accelerometer data",https://doi.org/10.1186/s40462-022-00339-0,"Movement Ecology"
"Effects of Moringa oleifera on working memory: an experimental study with memory-impaired Wistar rats tested in radial arm maze",https://doi.org/10.1186/s13104-022-06219-5,"BMC Research Notes"
"The effects of nutritional support team intervention on postoperative immune function, nutritional statuses, inflammatory responses, clinical outcomes of elderly patients with gastric cancer",https://doi.org/10.1186/s12893-022-01784-9,"BMC Surgery"
"Online learning experiences of secondary school students during COVID-19 – Dataset from Vietnam",https://doi.org/10.1016/j.dib.2022.108662,"Data in Brief"
"Effect of intermittent fasting 5:2 on body composition and nutritional intake among employees with obesity in Jakarta: a randomized clinical trial",https://doi.org/10.1186/s13104-022-06209-7,"BMC Research Notes"
"Nutrient reallocation between stem and leaf drives grazed grassland degradation in inner Mongolia, China",https://doi.org/10.1186/s12870-022-03875-4,"BMC Plant Biology"
"Revisiting the multidimensional interaction model of stress, anxiety and coping during the COVID-19 pandemic: a longitudinal study",https://doi.org/10.1186/s40359-022-00950-1,"BMC Psychology"
"Constructing metagenome-assembled genomes for almost all components in a real bacterial consortium for binning benchmarking",https://doi.org/10.1186/s12864-022-08967-x,"BMC Genomics"
"Risk factors for multidrug resistance in tuberculosis patients with diabetes mellitus",https://doi.org/10.1186/s12879-022-07831-3,"BMC Infectious Diseases"
"WES data from 286 diffuse gliomas under the 2021 WHO Classification of Tumors of the Central Nervous System",https://doi.org/10.1038/s41597-022-01823-3,"Scientific Data"
"Risk factors for Hirschsprung-associated enterocolitis following Soave: a retrospective study over a decade",https://doi.org/10.1186/s12887-022-03692-6,"BMC Pediatrics"
"Physiotherapists’ knowledge of and adherence to evidence-based practice guidelines and recommendations for ankle sprains management: a cross-sectional study",https://doi.org/10.1186/s12891-022-05914-5,"BMC Musculoskeletal Disorders"
"Immunohistochemical analysis of soft tissue response to polyetheretherketone (PEEK) and titanium healing abutments on dental implants: a randomized pilot clinical study",https://doi.org/10.1186/s12903-022-02536-0,"BMC Oral Health"
"Downscaled hyper-resolution (400 m) gridded datasets of daily precipitation and temperature (2008–2019) for the East–Taylor subbasin (western United States)",https://doi.org/10.5194/essd-14-4949-2022,"Earth system science data"
"Age-specific prevalence, subtypes and risk factors of metabolic diseases in Chinese adults and the different patterns from other racial/ethnic populations",https://doi.org/10.1186/s12889-022-14555-1,"BMC Public Health"
